epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9128,1.84953,2.47351,1.79685,0.00566,0.22222,0.00295,0.00124,2.45885,241.651,4.66502,0.00054889,0.00054889,0.00054889
2,150.646,1.88785,2.02091,1.88552,0.05145,0.17396,0.01613,0.00609,2.34249,46.7548,3.83866,0.00109362,0.00109362,0.00109362
3,222.954,1.88914,1.96848,1.88557,0.40492,0.44164,0.34433,0.16865,1.86961,3.37973,2.20417,0.00162735,0.00162735,0.00162735
4,293.946,1.8686,1.82402,1.85794,0.52398,0.60702,0.50019,0.26952,1.56433,1.86368,1.84357,0.00161749,0.00161749,0.00161749
5,364.803,1.83118,1.72349,1.85214,0.58214,0.37935,0.36824,0.18882,1.60064,3.20292,1.85072,0.00160099,0.00160099,0.00160099
6,434.07,1.76292,1.61513,1.79028,0.55893,0.54499,0.52197,0.28219,1.57738,1.76501,1.86563,0.00158448,0.00158448,0.00158448
7,506.077,1.76046,1.59806,1.79219,0.63902,0.69276,0.62304,0.34911,1.50444,1.3675,1.76384,0.00156798,0.00156798,0.00156798
8,577.662,1.729,1.48355,1.77282,0.66474,0.6546,0.63542,0.34798,1.5181,1.25861,1.75264,0.00155148,0.00155148,0.00155148
9,649.162,1.71551,1.43418,1.75415,0.52935,0.64703,0.56874,0.29934,1.58705,1.30449,1.84613,0.00153497,0.00153497,0.00153497
10,720.979,1.65777,1.37819,1.71809,0.68859,0.63956,0.65073,0.36561,1.51776,1.16248,1.77526,0.00151847,0.00151847,0.00151847
11,791.285,1.67599,1.37615,1.73542,0.58883,0.67312,0.6062,0.35103,1.47865,1.26624,1.75068,0.00150197,0.00150197,0.00150197
12,861.427,1.67677,1.3487,1.71794,0.65799,0.65903,0.66899,0.3843,1.5151,1.08261,1.80672,0.00148546,0.00148546,0.00148546
13,936.836,1.62972,1.2524,1.69684,0.68834,0.73217,0.6739,0.37987,1.49553,1.12299,1.75347,0.00146896,0.00146896,0.00146896
14,1006.45,1.6109,1.22254,1.68368,0.61023,0.68207,0.65451,0.37078,1.53138,1.18031,1.77603,0.00145246,0.00145246,0.00145246
15,1079.15,1.60995,1.25366,1.6649,0.61478,0.65528,0.63317,0.3567,1.49427,1.13262,1.75281,0.00143595,0.00143595,0.00143595
16,1149.08,1.59834,1.21361,1.66034,0.70269,0.72166,0.68151,0.38601,1.49322,1.04671,1.75447,0.00141945,0.00141945,0.00141945
17,1220.45,1.575,1.16065,1.67126,0.68523,0.68406,0.68211,0.37685,1.56294,1.04903,1.89453,0.00140295,0.00140295,0.00140295
18,1289.64,1.54106,1.10485,1.61345,0.6447,0.7214,0.68755,0.38106,1.57785,1.03761,1.81707,0.00138644,0.00138644,0.00138644
19,1358.89,1.50042,1.10616,1.60638,0.68491,0.64226,0.68287,0.36164,1.53043,1.04677,1.78583,0.00136994,0.00136994,0.00136994
20,1427.96,1.52211,1.09149,1.61501,0.66883,0.64248,0.64158,0.3504,1.5379,1.15258,1.7996,0.00135344,0.00135344,0.00135344
21,1497.15,1.52375,1.10468,1.61713,0.64454,0.70769,0.68415,0.36711,1.55053,1.12862,1.81694,0.00133693,0.00133693,0.00133693
22,1566.22,1.49683,1.03011,1.55,0.72915,0.66298,0.70275,0.39149,1.48875,0.99905,1.74408,0.00132043,0.00132043,0.00132043
23,1636.6,1.45371,1.00603,1.55326,0.66118,0.67957,0.68664,0.38024,1.54382,1.06478,1.77756,0.00130393,0.00130393,0.00130393
24,1705.8,1.47609,1.02188,1.5788,0.643,0.71072,0.66254,0.3631,1.59997,1.02032,1.85195,0.00128742,0.00128742,0.00128742
25,1774.74,1.45137,0.97937,1.54483,0.66513,0.70483,0.69327,0.38657,1.56521,1.01948,1.82967,0.00127092,0.00127092,0.00127092
26,1843.79,1.42013,0.9961,1.54923,0.6985,0.74749,0.72019,0.39146,1.56381,0.95069,1.78345,0.00125442,0.00125442,0.00125442
27,1914.72,1.41748,0.95331,1.52553,0.70254,0.65644,0.65942,0.34491,1.58674,1.09257,1.82313,0.00123791,0.00123791,0.00123791
28,1990.71,1.39764,0.92638,1.51457,0.72645,0.75028,0.72737,0.40866,1.49881,0.94351,1.77152,0.00122141,0.00122141,0.00122141
29,2062.2,1.37667,0.90297,1.50446,0.68732,0.74288,0.71342,0.38144,1.5886,1.03618,1.85155,0.00120491,0.00120491,0.00120491
30,2131.56,1.37323,0.91615,1.50619,0.70194,0.76917,0.69971,0.37248,1.59149,0.95738,1.89015,0.0011884,0.0011884,0.0011884
31,2201.51,1.347,0.85679,1.45964,0.77333,0.73425,0.74696,0.41189,1.61447,0.93989,1.88283,0.0011719,0.0011719,0.0011719
32,2275.34,1.35848,0.89477,1.49063,0.74305,0.71801,0.73544,0.41456,1.5032,0.94236,1.80019,0.0011554,0.0011554,0.0011554
33,2345.68,1.31895,0.86866,1.45622,0.65514,0.7147,0.71191,0.39757,1.5304,0.98965,1.80134,0.00113889,0.00113889,0.00113889
34,2414.56,1.32098,0.83589,1.43678,0.7504,0.7331,0.72983,0.39106,1.59339,0.92486,1.87936,0.00112239,0.00112239,0.00112239
35,2483.58,1.27115,0.81596,1.43774,0.69293,0.77778,0.72962,0.3869,1.59511,0.96893,1.90216,0.00110589,0.00110589,0.00110589
36,2552.66,1.2915,0.80942,1.43763,0.65674,0.79293,0.73925,0.39774,1.5505,0.92717,1.89381,0.00108938,0.00108938,0.00108938
37,2621.79,1.27437,0.80837,1.43547,0.72821,0.66835,0.69328,0.37176,1.64324,1.0407,1.94402,0.00107288,0.00107288,0.00107288
38,2690.63,1.23601,0.77199,1.39915,0.74141,0.68805,0.68754,0.39336,1.55379,0.95839,1.89718,0.00105638,0.00105638,0.00105638
39,2759.47,1.22377,0.76506,1.39441,0.67729,0.74691,0.70181,0.38646,1.57343,0.94778,1.88164,0.00103987,0.00103987,0.00103987
40,2828.69,1.23247,0.76422,1.40653,0.71957,0.73373,0.72837,0.39616,1.61591,0.95281,1.90557,0.00102337,0.00102337,0.00102337
41,2900.09,1.23581,0.77587,1.39248,0.66769,0.76992,0.71108,0.39516,1.56094,0.97987,1.87665,0.00100687,0.00100687,0.00100687
42,2969.5,1.22824,0.73779,1.39547,0.69111,0.74719,0.71114,0.37814,1.62449,0.9615,1.94412,0.000990365,0.000990365,0.000990365
43,3041.15,1.18203,0.69979,1.3559,0.67585,0.76094,0.70535,0.3861,1.60967,0.96746,1.93729,0.000973861,0.000973861,0.000973861
44,3110.14,1.1767,0.72818,1.34052,0.69676,0.71969,0.6912,0.3882,1.51511,1.03605,1.85576,0.000957358,0.000957358,0.000957358
45,3179.21,1.17306,0.70776,1.35235,0.66244,0.77205,0.71947,0.40842,1.55707,0.97821,1.90414,0.000940855,0.000940855,0.000940855
46,3248.27,1.19697,0.70944,1.37527,0.701,0.75479,0.70714,0.38842,1.60802,1.00873,1.94968,0.000924352,0.000924352,0.000924352
47,3317.21,1.12509,0.67796,1.31718,0.66484,0.74863,0.70662,0.3762,1.66535,1.02527,2.00161,0.000907848,0.000907848,0.000907848
48,3386.51,1.11939,0.65802,1.28661,0.70552,0.7427,0.72901,0.39826,1.54618,0.96661,1.90606,0.000891345,0.000891345,0.000891345
49,3455.75,1.09252,0.64611,1.29905,0.74003,0.67088,0.68149,0.36265,1.61189,1.04609,1.93425,0.000874842,0.000874842,0.000874842
50,3525.16,1.10048,0.67932,1.30269,0.6718,0.69447,0.69473,0.39682,1.54811,1.01127,1.91852,0.000858338,0.000858338,0.000858338
51,3594.51,1.08932,0.66562,1.2941,0.70092,0.76154,0.6993,0.38649,1.59128,0.9978,1.97921,0.000841835,0.000841835,0.000841835
52,3664.51,1.10703,0.64365,1.29132,0.6956,0.68318,0.68719,0.37358,1.67796,1.08251,2.0092,0.000825332,0.000825332,0.000825332
53,3735,1.06271,0.63923,1.28782,0.69351,0.74355,0.72392,0.41144,1.54227,0.94255,1.90793,0.000808828,0.000808828,0.000808828
54,3804.87,1.04945,0.61327,1.26575,0.61904,0.77189,0.69412,0.40151,1.55476,1.01442,1.91208,0.000792325,0.000792325,0.000792325
55,3874.28,1.0318,0.60054,1.24809,0.70895,0.69865,0.72014,0.40569,1.5997,1.05409,1.95304,0.000775822,0.000775822,0.000775822
56,3948.74,1.02899,0.59783,1.2506,0.73821,0.73765,0.72207,0.40792,1.55917,0.97814,1.98152,0.000759318,0.000759318,0.000759318
57,4017.76,1.03594,0.61444,1.24704,0.66933,0.76253,0.72761,0.40048,1.59288,1.04124,1.97483,0.000742815,0.000742815,0.000742815
